"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,";"Fiducial1x3";3;"";;;
2;"MH2,MH1";"Mounting_hole_Shield_3.3mm";2;"Mounting_hole_Shield_3.3mm";;;
3;"U4";"QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm";1;"LAN8710A-EZC(QFN32)";;;
4;"R25";"0R_0603";1;"0R(board_mounted)";;;
5;"U3";"ESP-WROOM-32_MODULE";1;"ESP-WROOM-32";;;
6;"MICRO_SD1";"TFC-WXCP11-08-LF";1;"TFC-WXCP11-08-LF";;;
7;"LAN1";"RJLBC-060TC1";1;"RJLD-060TC1(LPJ4013EDNL)";;;
8;"PHY_RST1";"SJ";1;"Opened";;;
9;"C1,C10,C3,C4";"C_0805_5MIL_DWS";4;"47uF/6.3V/20%/X5R/C0805";;;
10;"C8,C9,C12,C23";"C_0603_5MIL_DWS";4;"22uF/6.3V/20%/X5R/C0603";;;
11;"C11,C13,C14,C15,C17,C24,C28";"C_0603_5MIL_DWS";7;"100nF/50V/20%/Y5V/C0603";;;
12;"C16";"C_0603_5MIL_DWS";1;"2.2uF/6.3V/10%/X5R/C0603";;;
13;"C18";"C_0603_5MIL_DWS";1;"10uF/6.3V/20%/X5R/C0603";;;
14;"CR1";"5032-4P_HCX-3S";1;"Q50MHz/25ppm/3V/4P/5x3.2mm";;;
15;"D2";"DO214AA";1;"SMBJ6.0A(DO-214AA)";;;
16;"GND1";"TESTPAD_40-ROUND";1;"TESTPAD";;;
17;"L2";"CD32";1;"2.2uH/1.5A/DCR<0.1R/CD32";;;
18;"L3,L4";"L_0805_5MIL_DWS";2;"FB0805/600R/2A";;;
19;"PWRLED1";"LED_0603_KA";1;"LED/RED/0603";;;
20;"R14,R16,R35,R40,R37";"R_0603_5MIL_DWS";5;"220R/R0603";;;
21;"R24,R41,R42";"R_0603_5MIL_DWS";3;"1k/R0603";;;
22;"R26,R27";"R_0603_5MIL_DWS";2;"330R/R0603";;;
23;"R28,R31,R32,R33";"R_0603_5MIL_DWS";4;"49.9R/1%/R0603";;;
24;"R29,R34,R38,R30,R45";"R_0603_5MIL_DWS";5;"10k/R0603";;;
25;"R36,R43";"R_0603_5MIL_DWS";2;"10R/R0603";;;
26;"R39";"R_0603_5MIL_DWS";1;"12.1k/1%/R0603";;;
27;"RM1,RM2,RM3";"R_MATRIX_4";3;"RA1206_(4X0603)_4B8_2.2k";;;
28;"U2";"SOT-23-5";1;"SY8009AAAC(SOT23-5)";;;
29;"BUT1,RST1";"T1107A(6x3,8x2,5MM)";2;"T1107A(6x3,8x2,5MM)";;;
30;"C19";"C_1206_5MIL_DWS_ISO";1;"1nF/2000V/10%/X7R/C1206";;;
31;"C20";"C_1206_5MIL_DWS_ISO";1;"NA(1nF/2000V/10%/X7R/C1206)";;;
32;"C21,C22";"C_0603_5MIL_DWS";2;"27pF/50V/5%/C0G/C0603";;;
33;"D6";"SMA-KA";1;"1N5822/SS34/SMA";;;
34;"FET2";"SOT23";1;"IRLML6402";;;
35;"Q3";"Q_49U3HMS";1;"Q12MHz/20pF/30ppm/2P/HC-49SM(SMD)";;;
36;"Q4,Q5";"SOT23";2;"BC817-40(SOT23)";;;
37;"R46,R54,R44";"R_0603_5MIL_DWS";3;"NA/R0603";;;
38;"U5";"SSOP-20W";1;"CH340T(SSOP20W)";;;
39;"R4,R1";"R_0603_5MIL_DWS";2;"2.2k/R0603";;;
40;"R19";"R_0603_5MIL_DWS";1;"4.99k/1%/R0603";;;
41;"R20";"R_0603_5MIL_DWS";1;"1.1k/1%/R0603";;;
42;"U8";"SOT-23-5";1;"BD5230G-TR(SSOP5/SOT-23-5)";;;
43;"U9,U10";"SOT23-3";2;"BAT54C(SOT23-3)";;;
44;"USB-UART1";"USB-MICRO_MISB-SWMM-5B_LF";1;"MISB-SWMM-5B-LF(USB_MICRO)";;;
45;"CON1";"HN1x20";1;"NA(NH1x20)";;;
46;"LED1";"LED_0603_KA";1;"LED/GREEN/0603";;;
47;"Ref**";"LOGO_ANTISTATIC_1";1;"Val**";;;
48;"";"LOGO_OPENHARDWARE_8x8";1;"";;;
49;"";"LOGO_PBFREE";1;"";;;
50;"";"LOGO_RECYCLEBIN_1";1;"";;;
51;"Ref**";"LOGO_ROHS_1";1;"Val**";;;
52;"";"OLIMEX_LOGO_TB";1;"";;;
