"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm";1;"LAN8710A-EZC-ABC";;;
2;"USB-UART1";"USB2.0_TYPE-C(A40-00119-A52-12)";1;"USB-C-16P-F-PTH";;;
3;"D3,D1,D5";"SOD-123_1C-2A_KA";3;"1N5819S4/SOD123";;;
4;"R19";"R_0603_5MIL_DWS";1;"220k/R0603";;;
5;"R35,R29,R6,R45,R40,R38,R24";"R_0603_5MIL_DWS";7;"10k/R0603";;;
6;"U5";"MSOP-10_Pitch-0.5mm_3.00x3.00x1.00mm";1;"CH340X(MSOP-10)";;;
7;"U3";"ESP-WROOM-32_MODULE";1;"ESP32-WROOM-32E-N4";;;
8;"Sign_CE";"CE_Sign";1;"CE_Sign";;;
9;"LED_E1";"SJ";1;"Closed";;;
10;"MICRO_SD1";"TFC-WXCP11-08-LF";1;"TFC-WXCP11-08-LF";;;
11;"Logo-OlimexBIG,Logo-OLimeX";"OLIMEX_LOGO_TB";2;"";;;
12;"R5,R42,R41";"R_0603_5MIL_DWS";3;"1k/R0603";;;
13;"L1";"L_0805_5MIL_DWS";1;"NA(FB0805/600R/2A)";;;
14;"C2,C23,C12,C9,C8";"C_0603_5MIL_DWS";5;"22uF/6.3V/20%/X5R/C0603";;;
15;"T1";"SOT23";1;"LMUN2211LT1G";;;
16;"FET1,FET2";"SOT23";2;"WPM2015-3/TR";;;
17;"D2";"DO214AA_1(K)-2(A)";1;"SMBJ6.0A(DO-214AA)";;;
18;"R3,R2,R1,R4,R8,R7";"R_0603_5MIL_DWS";6;"2.2k/R0603";;;
19;"Sign_RoHS";"LOGO_ROHS_1";1;"Val**";;;
20;"Sign-RecyclBin";"LOGO_RECYCLEBIN_1";1;"";;;
21;"Sign_Pb-Free";"LOGO_PBFREE";1;"";;;
22;"Logo-OSHW";"LOGO_OPENHARDWARE_8x8";1;"";;;
23;"Sign-Antistatic";"LOGO_ANTISTATIC_1";1;"Val**";;;
24;"LED1";"LED_0603_KA";1;"LED/GREEN/0603";;;
25;"CON1";"HN1x20";1;"NA(HN1x20)";;;
26;"R37,R16,R14";"R_0603_5MIL_DWS";3;"220R/R0603";;;
27;"C4,C10,C1";"C_0805_5MIL_DWS";3;"47uF/6.3V/20%/X5R/C0805";;;
28;"C3";"C_0805_5MIL_DWS";1;"NA(47uF/6.3V/20%/X5R/C0805)";;;
29;"R20";"R_0603_5MIL_DWS";1;"49.9k/1%/R0603";;;
30;"R46,R10,R9,R11";"R_0603_5MIL_DWS";4;"NA/R0603";;;
31;"R30";"R_0603_5MIL_DWS";1;"1M/R0603";;;
32;"D6";"SMA-KA";1;"1N5822/SS34/SMA";;;
33;"C24,C17,C15,C14,C13,C11";"C_0603_5MIL_DWS";6;"100nF/50V/20%/Y5V/C0603";;;
34;"C20";"C_1206_5MIL_DWS_ISO";1;"NA(1nF/2000V/10%/X7R/C1206)";;;
35;"C19";"C_1206_5MIL_DWS_ISO";1;"1nF/2000V/10%/X7R/C1206";;;
36;"R43";"R_0603_5MIL_DWS";1;"10R/R0603";;;
37;"R27,R26";"R_0603_5MIL_DWS";2;"330R/R0603";;;
38;"PWRLED1";"LED_0603_KA";1;"LED/RED/0603";;;
39;"GND1";"TESTPAD_40-ROUND";1;"TESTPAD";;;
40;"C18";"C_0603_5MIL_DWS";1;"NA(10uF/6.3V/20%/X5R/C0603)";;;
41;"C16";"C_0603_5MIL_DWS";1;"2.2uF/6.3V/10%/X5R/C0603";;;
42;"PHY_RST1,GPIO17_E1";"SJ";2;"Opened";;;
43;"MH1,MH2";"Mounting_hole_Shield_3.3mm";2;"Mounting_hole_Shield_3.3mm";;;
44;"L4,L3";"L_0805_5MIL_DWS";2;"600OHM/2A/UPZ2012E-601-2R0TF";;;
45;"Q5,Q4";"SOT23";2;"BC817-40(SOT23)";;;
46;"L2";"CD32";1;"1.0uH/2.5A/DCR=30mR/20%/3.00x3.00x1.50mm/CD32(SWPA3015S1R0MT)";;;
47;"RM3,RM2";"R_MATRIX_4";2;"RA1206_(4X0603)_4B8_2.2k";;;
48;"RST1,BUT1";"T1107A(6x3,8x2,5MM)";2;"T1107A(6x3,8x2,5MM)";;;
49;"D4";"SOT23-3";1;"BAT54C(SOT23-3)";;;
50;"FID1,FID3";"Fiducial1x3";2;"Fiducial";;;
51;"R25";"R_0603_5MIL_DWS";1;"0R(Board_Mounted)";;;
52;"C5";"C_0603_5MIL_DWS";1;"1uF/C0603";;;
53;"LAN1";"RJLBC-060TC1";1;"RJLD-060TC1(LPJ4013EDNL)";;;
54;"R12";"R_0603_5MIL_DWS";1;"33R/R0603";;;
55;"R28,R31,R32,R33";"R_0402_5MIL_DWS";4;"49.9R/1%/R0402";;;
56;"FID4,FID2";"Fiducial1x3_Past";2;"Fiducial";;;
57;"TVS2,TVS3,TVS4,TVS1";"D_0402_5MIL_DWS";4;"GG0402052R542P";;;
58;"C6";"C_0402_5MIL_DWS";1;"NA/C0402";;;
59;"R39";"R_0402_5MIL_DWS";1;"12.1k/1%/R0402";;;
60;"U1";"SOT-563-6";1;"TPS62A02ADRLR(SOT-563-6)";;;
61;"R13,R15";"R_0402_5MIL_DWS";2;"5.1k/1%/R0402";;;
62;"R17";"R_0402_5MIL_DWS";1;"4.7k/R0402";;;
